DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Hungary,2017,13.07,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Hungary,2018,22.89,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Hungary,2019,18.48,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Hungary,2020,24.33,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Hungary,2021,66.96,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Hungary,2022,11.47,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Hungary,2023,22.05,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Ireland,2017,0.08,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Ireland,2018,0.12,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Ireland,2019,0.10,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Ireland,2020,0.16,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Ireland,2021,0.18,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Ireland,2022,0.17,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Ireland,2023,0.04,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Italy,2016,35.12,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Italy,2017,5.90,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Italy,2018,5.57,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Italy,2019,5.80,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Italy,2020,6.32,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Italy,2021,6.49,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Italy,2022,6.22,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Italy,2023,4.68,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Liechtenstein,2016,10.63,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Liechtenstein,2017,15.87,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Liechtenstein,2018,36.73,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Liechtenstein,2019,28.66,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Liechtenstein,2020,25.81,,
ESTAT:CRIM_OFF_CAT(1.0),12/08/25 23:00:00,Annual,Corruption,Per hundred thousand inhabitants,Liechtenstein,2021,35.85,,
